Setup title,Cdg-V_high_voltage
Output.Graph.YAxis.Top,1,1,1
Output.Graph.YAxis.Group,,,
Output.Graph.YAxis.RunTimeAutoScale,false,false,false
Output.List.Data,Vd,C,G,Id,Freq,C_dens,G_dens,I_dens
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Vd,C_dens,G_dens,C,G,Id,Freq,I_dens
0,1.33527777777778E-12,-2.04672222222222E-06,1.20175E-12,-1.84205E-06,-7.24E-09,1000000,
0.4,1.32117777777778E-12,-2.02971111111111E-06,1.18906E-12,-1.82674E-06,-5.39E-09,1000000,
0.8,1.30454444444444E-12,-2.00412222222222E-06,1.17409E-12,-1.80371E-06,-1.952E-08,1000000,
1.2,1.28432222222222E-12,-1.97581111111111E-06,1.15589E-12,-1.77823E-06,-1.037E-08,1000000,
1.599,1.25904444444444E-12,-1.93777777777778E-06,1.13314E-12,-1.744E-06,1.343E-08,1000000,
2.0005,1.22516666666667E-12,-1.88776666666667E-06,1.10265E-12,-1.69899E-06,2.567E-08,1000000,
2.4005,1.17752222222222E-12,-1.8206E-06,1.05977E-12,-1.63854E-06,-4.71E-09,1000000,
2.8,1.10404777777778E-12,-1.7079E-06,9.93643E-13,-1.53711E-06,-1.28E-08,1000000,
3.2005,9.81261111111111E-13,-1.52191111111111E-06,8.83135E-13,-1.36972E-06,-1.382E-08,1000000,
3.5995,7.46674444444445E-13,-1.16636666666667E-06,6.72007E-13,-1.04973E-06,-1.206E-08,1000000,
4.0005,3.42688888888889E-13,-5.41188888888889E-07,3.0842E-13,-4.8707E-07,1.746E-08,1000000,
4.3995,2.36413333333333E-13,-3.78026666666667E-07,2.12772E-13,-3.40224E-07,1.809E-08,1000000,
4.7995,2.10145555555556E-13,-3.38738888888889E-07,1.89131E-13,-3.04865E-07,-1.86E-08,1000000,
5.2005,1.93586666666667E-13,-3.13668888888889E-07,1.74228E-13,-2.82302E-07,-3E-08,1000000,
5.6,1.81021111111111E-13,-2.92767777777778E-07,1.62919E-13,-2.63491E-07,-1.816E-08,1000000,
6.0005,1.71062222222222E-13,-2.79153333333333E-07,1.53956E-13,-2.51238E-07,-1.261E-08,1000000,
6.4005,1.63361111111111E-13,-2.65066666666667E-07,1.47025E-13,-2.3856E-07,-1.351E-08,1000000,
6.8,1.56231111111111E-13,-2.5306E-07,1.40608E-13,-2.27754E-07,2.298E-08,1000000,
7.2,1.50544444444444E-13,-2.45594444444444E-07,1.3549E-13,-2.21035E-07,-4E-11,1000000,
7.5995,1.45151111111111E-13,-2.36191111111111E-07,1.30636E-13,-2.12572E-07,-3.387E-08,1000000,
8.0005,1.40458888888889E-13,-2.30305555555556E-07,1.26413E-13,-2.07275E-07,-3.269E-08,1000000,
8.4,1.36307777777778E-13,-2.22484444444444E-07,1.22677E-13,-2.00236E-07,-6.65E-09,1000000,
8.8,1.32266666666667E-13,-2.16301111111111E-07,1.1904E-13,-1.94671E-07,2.132E-08,1000000,
9.2005,1.29108888888889E-13,-2.11184444444444E-07,1.16198E-13,-1.90066E-07,2.063E-08,1000000,
9.6005,1.25681111111111E-13,-2.03657777777778E-07,1.13113E-13,-1.83292E-07,-4.59E-09,1000000,
10,1.22776666666667E-13,-2.00032222222222E-07,1.10499E-13,-1.80029E-07,-9.86E-09,1000000,
10.4,1.20124444444444E-13,-1.95703333333333E-07,1.08112E-13,-1.76133E-07,-1.293E-08,1000000,
10.799,1.1772E-13,-1.92264444444444E-07,1.05948E-13,-1.73038E-07,-1.543E-08,1000000,
11.1995,1.14926666666667E-13,-1.89335555555556E-07,1.03434E-13,-1.70402E-07,-3.105E-08,1000000,
11.6,1.13145555555556E-13,-1.8257E-07,1.01831E-13,-1.64313E-07,-2.433E-08,1000000,
12,1.11222222222222E-13,-1.8217E-07,1.001E-13,-1.63953E-07,2.06E-09,1000000,
12.4,1.08953555555556E-13,-1.77371111111111E-07,9.80582E-14,-1.59634E-07,6.52E-09,1000000,
12.8,1.07120444444444E-13,-1.75622222222222E-07,9.64084E-14,-1.5806E-07,-2.34E-09,1000000,
13.2,1.05505222222222E-13,-1.72373333333333E-07,9.49547E-14,-1.55136E-07,-7.06E-09,1000000,
13.6005,1.03558555555556E-13,-1.68625555555556E-07,9.32027E-14,-1.51763E-07,4.83E-09,1000000,
13.9995,1.02376777777778E-13,-1.6879E-07,9.21391E-14,-1.51911E-07,-1.503E-08,1000000,
14.4,1.00896E-13,-1.64943333333333E-07,9.08064E-14,-1.48449E-07,-1.095E-08,1000000,
14.8005,9.93035555555555E-14,-1.63825555555556E-07,8.93732E-14,-1.47443E-07,-6.74E-09,1000000,
15.2,9.80016666666667E-14,-1.6082E-07,8.82015E-14,-1.44738E-07,-9.67E-09,1000000,
15.6,9.63518888888889E-14,-1.59967777777778E-07,8.67167E-14,-1.43971E-07,1.709E-08,1000000,
15.999,9.53808888888889E-14,-1.58042222222222E-07,8.58428E-14,-1.42238E-07,-9.99E-09,1000000,
16.4,9.39686666666667E-14,-1.53681111111111E-07,8.45718E-14,-1.38313E-07,3.98E-09,1000000,
16.8,9.32843333333333E-14,-1.53115555555556E-07,8.39559E-14,-1.37804E-07,-1.145E-08,1000000,
17.2005,9.21017777777778E-14,-1.52907777777778E-07,8.28916E-14,-1.37617E-07,2.91E-08,1000000,
17.5995,9.08736666666667E-14,-1.49027777777778E-07,8.17863E-14,-1.34125E-07,-7.96E-09,1000000,
17.9995,8.98113333333333E-14,-1.46753333333333E-07,8.08302E-14,-1.32078E-07,-4.72E-09,1000000,
18.4005,8.88915555555555E-14,-1.45495555555556E-07,8.00024E-14,-1.30946E-07,1.782E-08,1000000,
18.8,8.76132222222222E-14,-1.44873333333333E-07,7.88519E-14,-1.30386E-07,1.673E-08,1000000,
19.2,8.70613333333333E-14,-1.42621111111111E-07,7.83552E-14,-1.28359E-07,3.9E-10,1000000,
19.6005,8.61795555555556E-14,-1.42634444444444E-07,7.75616E-14,-1.28371E-07,-1.174E-08,1000000,
20,8.52868888888889E-14,-1.39612222222222E-07,7.67582E-14,-1.25651E-07,1.724E-08,1000000,
20.401,8.43292222222222E-14,-1.38681111111111E-07,7.58963E-14,-1.24813E-07,9.95E-09,1000000,
20.8,8.37484444444444E-14,-1.4059E-07,7.53736E-14,-1.26531E-07,1.304E-08,1000000,
21.2005,8.29688888888889E-14,-1.34761111111111E-07,7.4672E-14,-1.21285E-07,1.352E-08,1000000,
21.6,8.21205555555556E-14,-1.35738888888889E-07,7.39085E-14,-1.22165E-07,2.24E-09,1000000,
22,8.14931111111111E-14,-1.34784444444444E-07,7.33438E-14,-1.21306E-07,-2.913E-08,1000000,
22.4005,8.06102222222222E-14,-1.31336666666667E-07,7.25492E-14,-1.18203E-07,-3.231E-08,1000000,
22.8,8.01763333333333E-14,-1.32016666666667E-07,7.21587E-14,-1.18815E-07,-3.287E-08,1000000,
23.2005,7.94692222222222E-14,-1.29153333333333E-07,7.15223E-14,-1.16238E-07,5.77E-09,1000000,
23.6015,7.87585555555556E-14,-1.28776666666667E-07,7.08827E-14,-1.15899E-07,5.59E-09,1000000,
24.0005,7.79403333333333E-14,-1.28698888888889E-07,7.01463E-14,-1.15829E-07,8.49E-09,1000000,
24.4,7.71983333333333E-14,-1.29473333333333E-07,6.94785E-14,-1.16526E-07,2.373E-08,1000000,
24.8,7.66808888888889E-14,-1.25972222222222E-07,6.90128E-14,-1.13375E-07,-7.42E-09,1000000,
25.1995,7.60878888888889E-14,-1.25392222222222E-07,6.84791E-14,-1.12853E-07,-3.386E-08,1000000,
25.6,7.6006E-14,-1.25791111111111E-07,6.84054E-14,-1.13212E-07,-2.454E-08,1000000,
25.9995,7.5094E-14,-1.25491111111111E-07,6.75846E-14,-1.12942E-07,3.22E-09,1000000,
26.4005,7.43362222222222E-14,-1.2113E-07,6.69026E-14,-1.09017E-07,-1.357E-08,1000000,
26.7995,7.42744444444444E-14,-1.21562222222222E-07,6.6847E-14,-1.09406E-07,4.73E-09,1000000,
27.201,7.336E-14,-1.19166666666667E-07,6.6024E-14,-1.0725E-07,-1.463E-08,1000000,
27.5995,7.29576666666667E-14,-1.21312222222222E-07,6.56619E-14,-1.09181E-07,1.125E-08,1000000,
28,7.25617777777778E-14,-1.17345555555556E-07,6.53056E-14,-1.05611E-07,-1.575E-08,1000000,
28.4005,7.16463333333333E-14,-1.18191111111111E-07,6.44817E-14,-1.06372E-07,-1.067E-08,1000000,
28.8,7.18932222222222E-14,-1.1613E-07,6.47039E-14,-1.04517E-07,3.7E-10,1000000,
29.2,7.09288888888889E-14,-1.1716E-07,6.3836E-14,-1.05444E-07,2.52E-09,1000000,
29.6,7.02027777777778E-14,-1.16683333333333E-07,6.31825E-14,-1.05015E-07,-1.1E-10,1000000,
29.9995,7.02312222222222E-14,-1.13483333333333E-07,6.32081E-14,-1.02135E-07,-1.864E-08,1000000,
30.4005,6.90873333333333E-14,-1.14922222222222E-07,6.21786E-14,-1.0343E-07,-1.478E-08,1000000,
30.8,6.89538888888889E-14,-1.12937777777778E-07,6.20585E-14,-1.01644E-07,-5E-10,1000000,
31.1995,6.8233E-14,-1.1371E-07,6.14097E-14,-1.02339E-07,6.92E-09,1000000,
31.6005,6.80991111111111E-14,-1.12683333333333E-07,6.12892E-14,-1.01415E-07,2.09E-09,1000000,
32,6.77418888888889E-14,-1.10381444444444E-07,6.09677E-14,-9.93433E-08,-4.25E-09,1000000,
32.4,6.72194444444445E-14,-1.12477777777778E-07,6.04975E-14,-1.0123E-07,-1.5E-09,1000000,
32.7995,6.70318888888889E-14,-1.09668333333333E-07,6.03287E-14,-9.87015E-08,-2.99E-09,1000000,
33.1995,6.61145555555555E-14,-1.11171111111111E-07,5.95031E-14,-1.00054E-07,-1.616E-08,1000000,
33.5995,6.61451111111111E-14,-1.09182666666667E-07,5.95306E-14,-9.82644E-08,4.28E-09,1000000,
33.999,6.59663333333333E-14,-1.08858222222222E-07,5.93697E-14,-9.79724E-08,1.96E-09,1000000,
34.3995,6.55587777777778E-14,-1.07516111111111E-07,5.90029E-14,-9.67645E-08,-1.862E-08,1000000,
34.8,6.51287777777778E-14,-1.08593222222222E-07,5.86159E-14,-9.77339E-08,1.045E-08,1000000,
35.199,6.45656666666667E-14,-1.06699333333333E-07,5.81091E-14,-9.60294E-08,-1.739E-08,1000000,
35.6005,6.43176666666667E-14,-1.07242222222222E-07,5.78859E-14,-9.6518E-08,-2.422E-08,1000000,
36,6.41514444444444E-14,-1.01973333333333E-07,5.77363E-14,-9.1776E-08,-2.68E-09,1000000,
36.4,6.33554444444444E-14,-1.09239777777778E-07,5.70199E-14,-9.83158E-08,6.54E-09,1000000,
36.8005,6.35332222222222E-14,-1.01900444444444E-07,5.71799E-14,-9.17104E-08,1.789E-08,1000000,
37.2,6.24645555555556E-14,-1.03728E-07,5.62181E-14,-9.33552E-08,1.534E-08,1000000,
37.5995,6.25614444444444E-14,-1.02984111111111E-07,5.63053E-14,-9.26857E-08,-1.407E-08,1000000,
38.0005,6.18465555555555E-14,-1.03079E-07,5.56619E-14,-9.27711E-08,9.17E-09,1000000,
38.4,6.23303333333333E-14,-1.01383777777778E-07,5.60973E-14,-9.12454E-08,-3.52E-09,1000000,
38.7995,6.1614E-14,-1.03308555555556E-07,5.54526E-14,-9.29777E-08,-1.252E-08,1000000,
39.1995,6.13905555555556E-14,-1.01209333333333E-07,5.52515E-14,-9.10884E-08,-3.57E-09,1000000,
39.6,6.09938888888889E-14,-1.00158666666667E-07,5.48945E-14,-9.01428E-08,-1.051E-08,1000000,
40,6.07072222222222E-14,-9.92027777777778E-08,5.46365E-14,-8.92825E-08,-2.014E-08,1000000,
40.401,6.03812222222222E-14,-1.00946555555556E-07,5.43431E-14,-9.08519E-08,-2.903E-08,1000000,
40.8,6.00095555555556E-14,-9.91122222222222E-08,5.40086E-14,-8.9201E-08,-1.767E-08,1000000,
41.2005,5.97818888888889E-14,-9.79181111111111E-08,5.38037E-14,-8.81263E-08,-2.039E-08,1000000,
41.5995,5.91752222222222E-14,-9.78672222222222E-08,5.32577E-14,-8.80805E-08,-6.29E-09,1000000,
42,5.89914444444444E-14,-9.77105555555556E-08,5.30923E-14,-8.79395E-08,-3.708E-08,1000000,
42.4005,5.90785555555555E-14,-9.79113333333333E-08,5.31707E-14,-8.81202E-08,-2.484E-08,1000000,
42.8,5.85076666666667E-14,-9.71542222222222E-08,5.26569E-14,-8.74388E-08,1.668E-08,1000000,
43.2,5.83914444444444E-14,-9.69533333333333E-08,5.25523E-14,-8.7258E-08,-1.345E-08,1000000,
43.6,5.78317777777778E-14,-9.49865555555555E-08,5.20486E-14,-8.54879E-08,-7.35E-09,1000000,
44,5.7817E-14,-9.57326666666667E-08,5.20353E-14,-8.61594E-08,1.83E-08,1000000,
44.4,5.78918888888889E-14,-9.69113333333333E-08,5.21027E-14,-8.72202E-08,-1.531E-08,1000000,
44.8,5.72391111111111E-14,-9.44986666666667E-08,5.15152E-14,-8.50488E-08,-1.326E-08,1000000,
45.2005,5.67985555555556E-14,-9.43904444444444E-08,5.11187E-14,-8.49514E-08,-1.34E-09,1000000,
45.6,5.6637E-14,-9.19756666666667E-08,5.09733E-14,-8.27781E-08,-1.449E-08,1000000,
45.999,5.62583333333333E-14,-9.23111111111111E-08,5.06325E-14,-8.308E-08,-3.457E-08,1000000,
46.4,5.62302222222222E-14,-9.24722222222222E-08,5.06072E-14,-8.3225E-08,-2.71E-09,1000000,
46.8005,5.57878888888889E-14,-9.25892222222222E-08,5.02091E-14,-8.33303E-08,1.432E-08,1000000,
47.2005,5.57162222222222E-14,-9.29335555555555E-08,5.01446E-14,-8.36402E-08,-1.797E-08,1000000,
47.6005,5.55012222222222E-14,-9.09601111111111E-08,4.99511E-14,-8.18641E-08,1.186E-08,1000000,
47.9995,5.51547777777778E-14,-9.2205E-08,4.96393E-14,-8.29845E-08,-3.85E-09,1000000,
48.4005,5.52503333333333E-14,-9.13816666666667E-08,4.97253E-14,-8.22435E-08,-2.083E-08,1000000,
48.8,5.45498888888889E-14,-8.88454444444444E-08,4.90949E-14,-7.99609E-08,3.005E-08,1000000,
49.2,5.45861111111111E-14,-8.84172222222222E-08,4.91275E-14,-7.95755E-08,-2.049E-08,1000000,
49.5995,5.40973333333333E-14,-8.89248888888889E-08,4.86876E-14,-8.00324E-08,-4.31E-09,1000000,
49.9995,5.38075555555556E-14,-8.73554444444444E-08,4.84268E-14,-7.86199E-08,-6.77E-09,1000000,
50.4,5.38181111111111E-14,-8.73928888888889E-08,4.84363E-14,-7.86536E-08,-2.88E-09,1000000,
50.8005,5.33596666666667E-14,-8.91587777777778E-08,4.80237E-14,-8.02429E-08,-2.6E-10,1000000,
51.201,5.33125555555556E-14,-8.96002222222222E-08,4.79813E-14,-8.06402E-08,-8.39E-09,1000000,
51.6,5.29545555555556E-14,-8.54283333333333E-08,4.76591E-14,-7.68855E-08,-6.63E-09,1000000,
52,5.26271111111111E-14,-8.85097777777778E-08,4.73644E-14,-7.96588E-08,9.98E-09,1000000,
52.4005,5.25801111111111E-14,-8.80947777777778E-08,4.73221E-14,-7.92853E-08,-1.895E-08,1000000,
52.7995,5.24413333333333E-14,-8.80903333333333E-08,4.71972E-14,-7.92813E-08,-8.15E-09,1000000,
53.201,5.22291111111111E-14,-8.56313333333333E-08,4.70062E-14,-7.70682E-08,-7.79E-09,1000000,
53.6,5.17935555555556E-14,-8.54061111111111E-08,4.66142E-14,-7.68655E-08,-7.71E-09,1000000,
54,5.17456666666667E-14,-8.69424444444444E-08,4.65711E-14,-7.82482E-08,-1.571E-08,1000000,
54.4005,5.15608888888889E-14,-8.47483333333333E-08,4.64048E-14,-7.62735E-08,-2.219E-08,1000000,
54.8,5.15022222222222E-14,-8.45364444444444E-08,4.6352E-14,-7.60828E-08,-1.216E-08,1000000,
55.2,5.14927777777778E-14,-8.44988888888889E-08,4.63435E-14,-7.6049E-08,-1.805E-08,1000000,
55.6005,5.07268888888889E-14,-8.30773333333333E-08,4.56542E-14,-7.47696E-08,-2.628E-08,1000000,
55.9995,5.11207777777778E-14,-8.62691111111111E-08,4.60087E-14,-7.76422E-08,-2.408E-08,1000000,
56.399,5.07037777777778E-14,-8.44502222222222E-08,4.56334E-14,-7.60052E-08,-8.19E-09,1000000,
56.8005,5.01631111111111E-14,-8.42978888888889E-08,4.51468E-14,-7.58681E-08,3.43E-09,1000000,
57.201,5.061E-14,-8.13268888888889E-08,4.5549E-14,-7.31942E-08,-9.39E-09,1000000,
57.6,4.96933333333333E-14,-8.25098888888889E-08,4.4724E-14,-7.42589E-08,-2.616E-08,1000000,
57.9995,4.97337777777778E-14,-8.34701111111111E-08,4.47604E-14,-7.51231E-08,-1.569E-08,1000000,
58.4005,4.95532222222222E-14,-8.02452222222222E-08,4.45979E-14,-7.22207E-08,-1.23E-08,1000000,
58.7995,4.93143333333333E-14,-8.35164444444444E-08,4.43829E-14,-7.51648E-08,-2.226E-08,1000000,
59.2,4.93606666666667E-14,-7.99074444444444E-08,4.44246E-14,-7.19167E-08,-1.147E-08,1000000,
59.5995,4.91256666666667E-14,-8.36554444444444E-08,4.42131E-14,-7.52899E-08,-1.877E-08,1000000,
60.0005,4.90757777777778E-14,-8.04746666666667E-08,4.41682E-14,-7.24272E-08,-1.784E-08,1000000,
60.4,4.8722E-14,-7.89206666666667E-08,4.38498E-14,-7.10286E-08,1.21E-09,1000000,
60.8,4.83843333333333E-14,-8.32691111111111E-08,4.35459E-14,-7.49422E-08,1.748E-08,1000000,
61.2005,4.83861111111111E-14,-7.93025555555556E-08,4.35475E-14,-7.13723E-08,1.28E-08,1000000,
61.6,4.75293333333333E-14,-7.94481111111111E-08,4.27764E-14,-7.15033E-08,-7.51E-09,1000000,
62,4.79673333333333E-14,-8.08608888888889E-08,4.31706E-14,-7.27748E-08,8.28E-09,1000000,
62.4005,4.78321111111111E-14,-7.89647777777778E-08,4.30489E-14,-7.10683E-08,6.59E-09,1000000,
62.8005,4.7439E-14,-8.05937777777778E-08,4.26951E-14,-7.25344E-08,-6.12E-09,1000000,
63.2,4.72356666666667E-14,-7.67022222222222E-08,4.25121E-14,-6.9032E-08,-2.76E-09,1000000,
63.6,4.73392222222222E-14,-7.85607777777778E-08,4.26053E-14,-7.07047E-08,-1.06E-09,1000000,
64,4.75728888888889E-14,-7.81083333333333E-08,4.28156E-14,-7.02975E-08,-4.61E-09,1000000,
64.3995,4.71523333333333E-14,-7.83753333333333E-08,4.24371E-14,-7.05378E-08,1.145E-08,1000000,
64.8005,4.6996E-14,-7.80663333333333E-08,4.22964E-14,-7.02597E-08,8E-10,1000000,
65.2005,4.70595555555556E-14,-7.77925555555555E-08,4.23536E-14,-7.00133E-08,1.793E-08,1000000,
65.5995,4.64686666666667E-14,-7.63356666666667E-08,4.18218E-14,-6.87021E-08,-3.024E-08,1000000,
66,4.65248888888889E-14,-7.58854444444444E-08,4.18724E-14,-6.82969E-08,-5.55E-09,1000000,
66.3995,4.60207777777778E-14,-7.58611111111111E-08,4.14187E-14,-6.8275E-08,-4.65E-09,1000000,
66.8005,4.62557777777778E-14,-7.81655555555556E-08,4.16302E-14,-7.0349E-08,-1E-10,1000000,
67.2,4.60797777777778E-14,-7.49384444444444E-08,4.14718E-14,-6.74446E-08,-2.57E-08,1000000,
67.6,4.5673E-14,-7.62672222222222E-08,4.11057E-14,-6.86405E-08,-3.342E-08,1000000,
68,4.54791111111111E-14,-7.20974444444444E-08,4.09312E-14,-6.48877E-08,-1.785E-08,1000000,
68.3995,4.56564444444444E-14,-7.17266666666667E-08,4.10908E-14,-6.4554E-08,-2.151E-08,1000000,
68.8,4.5348E-14,-7.50707777777778E-08,4.08132E-14,-6.75637E-08,-2.422E-08,1000000,
69.2005,4.50441111111111E-14,-7.47506666666667E-08,4.05397E-14,-6.72756E-08,6.2E-09,1000000,
69.6,4.49046666666667E-14,-7.57881111111111E-08,4.04142E-14,-6.82093E-08,1.892E-08,1000000,
70,4.51172222222222E-14,-7.33997777777778E-08,4.06055E-14,-6.60598E-08,-1.774E-08,1000000,
70.3995,4.46071111111111E-14,-7.54702222222222E-08,4.01464E-14,-6.79232E-08,-2.219E-08,1000000,
70.8,4.48013333333333E-14,-7.41988888888889E-08,4.03212E-14,-6.6779E-08,-7.36E-09,1000000,
71.1995,4.43053333333333E-14,-7.33754444444445E-08,3.98748E-14,-6.60379E-08,-9.11E-09,1000000,
71.6,4.43295555555556E-14,-7.54878888888889E-08,3.98966E-14,-6.79391E-08,-6.84E-09,1000000,
71.9995,4.42438888888889E-14,-7.45674444444445E-08,3.98195E-14,-6.71107E-08,-1.649E-08,1000000,
72.4,4.39118888888889E-14,-7.19538888888889E-08,3.95207E-14,-6.47585E-08,9E-11,1000000,
72.8005,4.37256666666667E-14,-7.20951111111111E-08,3.93531E-14,-6.48856E-08,1.167E-08,1000000,
73.1995,4.32548888888889E-14,-7.21922222222222E-08,3.89294E-14,-6.4973E-08,-1.553E-08,1000000,
73.6005,4.33733333333333E-14,-7.3989E-08,3.9036E-14,-6.65901E-08,-1.103E-08,1000000,
74,4.33437777777778E-14,-6.99716666666667E-08,3.90094E-14,-6.29745E-08,-1.654E-08,1000000,
74.4005,4.31931111111111E-14,-7.20818888888889E-08,3.88738E-14,-6.48737E-08,5.37E-09,1000000,
74.8,4.31203333333333E-14,-7.10422222222222E-08,3.88083E-14,-6.3938E-08,2.68E-09,1000000,
75.2005,4.27111111111111E-14,-6.91018888888889E-08,3.844E-14,-6.21917E-08,-5.49E-09,1000000,
75.6,4.27413333333333E-14,-7.09362222222222E-08,3.84672E-14,-6.38426E-08,-3.52E-09,1000000,
76,4.24647777777778E-14,-6.78812222222222E-08,3.82183E-14,-6.10931E-08,-1.081E-08,1000000,
76.4005,4.23173333333333E-14,-6.77841111111111E-08,3.80856E-14,-6.10057E-08,-1.981E-08,1000000,
76.8,4.22757777777778E-14,-7.03423333333333E-08,3.80482E-14,-6.33081E-08,-7.7E-09,1000000,
77.2,4.23633333333333E-14,-6.9252E-08,3.8127E-14,-6.23268E-08,-9.34E-09,1000000,
77.601,4.19775555555556E-14,-6.87155555555556E-08,3.77798E-14,-6.1844E-08,-7.71E-09,1000000,
78,4.18675555555556E-14,-6.8199E-08,3.76808E-14,-6.13791E-08,4.8E-09,1000000,
78.4,4.17098888888889E-14,-7.23245555555556E-08,3.75389E-14,-6.50921E-08,-3.043E-08,1000000,
78.8,4.18311111111111E-14,-6.83712222222222E-08,3.7648E-14,-6.15341E-08,-7.8E-10,1000000,
