# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
-6.650000E+0,0.000000E+0,-4.696121E-4,4.696010E-4,-3.575672E+1,7.826869E-3,-6.323878E+5
-6.700000E+0,0.000000E+0,-4.690950E-4,4.690836E-4,-3.569000E+1,7.818250E-3,5.801397E+3
-6.750000E+0,0.000000E+0,-4.688288E-4,4.688168E-4,-3.562218E+1,7.813814E-3,1.127041E+4
-6.800000E+0,0.000000E+0,-4.690224E-4,4.690097E-4,-3.555536E+1,7.817040E-3,-1.549830E+4
-6.850000E+0,0.000000E+0,-4.690585E-4,4.690475E-4,-3.548952E+1,7.817642E-3,-8.299454E+4
-6.900000E+0,0.000000E+0,-4.693090E-4,4.692968E-4,-3.542266E+1,7.821816E-3,-1.197899E+4
-6.950000E+0,0.000000E+0,-4.691786E-4,4.691666E-4,-3.535602E+1,7.819643E-3,2.300362E+4
-7.000000E+0,0.000000E+0,-4.691127E-4,4.691010E-4,-3.528955E+1,7.818544E-3,4.550959E+4
-7.050000E+0,0.000000E+0,-4.688621E-4,4.688505E-4,-3.522278E+1,7.814368E-3,1.197203E+4
-7.100000E+0,0.000000E+0,-4.689564E-4,4.689441E-4,-3.515583E+1,7.815939E-3,-3.181457E+4
-7.150000E+0,0.000000E+0,-4.688825E-4,4.688714E-4,-3.508960E+1,7.814708E-3,4.059835E+4
-7.200000E+0,0.000000E+0,-4.689160E-4,4.689044E-4,-3.502344E+1,7.815266E-3,-8.955623E+4
-7.250000E+0,0.000000E+0,-4.688268E-4,4.688154E-4,-3.495662E+1,7.813780E-3,3.364204E+4
-7.300000E+0,0.000000E+0,-4.684522E-4,4.684407E-4,-3.488978E+1,7.807537E-3,8.009263E+3
-7.350000E+0,0.000000E+0,-4.685468E-4,4.685350E-4,-3.482417E+1,7.809113E-3,-3.173621E+4
-7.400000E+0,0.000000E+0,-4.685310E-4,4.685191E-4,-3.475735E+1,7.808851E-3,1.908874E+5
-7.450000E+0,0.000000E+0,-4.687569E-4,4.687447E-4,-3.469053E+1,7.812616E-3,-1.327998E+4
-7.500000E+0,0.000000E+0,-4.686499E-4,4.686377E-4,-3.462365E+1,7.810831E-3,2.801827E+4
-7.550000E+0,0.000000E+0,-4.683999E-4,4.683881E-4,-3.455783E+1,7.806665E-3,1.200131E+4
-7.600000E+0,0.000000E+0,-4.683973E-4,4.683855E-4,-3.449086E+1,7.806621E-3,1.145325E+6
-7.650000E+0,0.000000E+0,-4.685007E-4,4.684892E-4,-3.442404E+1,7.808346E-3,-2.899556E+4
-7.700000E+0,0.000000E+0,-4.683669E-4,4.683547E-4,-3.435822E+1,7.806115E-3,2.241340E+4
-7.750000E+0,0.000000E+0,-4.681852E-4,4.681732E-4,-3.429130E+1,7.803087E-3,1.651117E+4
-7.800000E+0,0.000000E+0,-4.681772E-4,4.681658E-4,-3.422448E+1,7.802954E-3,3.762015E+5
-7.850000E+0,0.000000E+0,-4.681536E-4,4.681411E-4,-3.415667E+1,7.802560E-3,1.271014E+5
-7.900000E+0,0.000000E+0,-4.680609E-4,4.680493E-4,-3.408977E+1,7.801014E-3,3.234365E+4
-7.950000E+0,0.000000E+0,-4.680124E-4,4.680010E-4,-3.402407E+1,7.800206E-3,6.183516E+4
-8.000000E+0,0.000000E+0,-4.682267E-4,4.682162E-4,-3.395726E+1,7.803778E-3,-1.399582E+4
-8.050000E+0,0.000000E+0,-4.681857E-4,4.681741E-4,-3.388939E+1,7.803095E-3,7.315771E+4
-8.100000E+0,0.000000E+0,-4.681071E-4,4.680954E-4,-3.382257E+1,7.801785E-3,3.817749E+4
-8.150000E+0,0.000000E+0,-4.681817E-4,4.681700E-4,-3.375631E+1,7.803029E-3,-4.020250E+4
-8.200000E+0,0.000000E+0,-4.679326E-4,4.679206E-4,-3.368912E+1,7.798877E-3,1.204196E+4
-8.250000E+0,0.000000E+0,-4.683246E-4,4.683138E-4,-3.362330E+1,7.805410E-3,-7.653639E+3
-8.300000E+0,0.000000E+0,-4.682191E-4,4.682085E-4,-3.355548E+1,7.803651E-3,2.843565E+4
-8.350000E+0,0.000000E+0,-4.678558E-4,4.678454E-4,-3.348767E+1,7.797597E-3,8.258891E+3
-8.400000E+0,0.000000E+0,-4.679199E-4,4.679082E-4,-3.342087E+1,7.798664E-3,-4.685419E+4
-8.450000E+0,0.000000E+0,-4.680207E-4,4.680097E-4,-3.335290E+1,7.800345E-3,-2.974869E+4
-8.500000E+0,0.000000E+0,-4.678587E-4,4.678476E-4,-3.328708E+1,7.797645E-3,1.851612E+4
-8.550000E+0,0.000000E+0,-4.678307E-4,4.678201E-4,-3.321926E+1,7.797178E-3,1.071510E+5
-8.600000E+0,0.000000E+0,-4.676958E-4,4.676850E-4,-3.315244E+1,7.794931E-3,2.224891E+4
-8.650000E+0,0.000000E+0,-4.678201E-4,4.678077E-4,-3.308611E+1,7.797001E-3,-2.415164E+4
-8.700000E+0,0.000000E+0,-4.677836E-4,4.677725E-4,-3.302005E+1,7.796393E-3,8.226593E+4
-8.750000E+0,0.000000E+0,-4.680287E-4,4.680175E-4,-3.295311E+1,7.800478E-3,-1.224073E+4
-8.800000E+0,0.000000E+0,-4.679332E-4,4.679214E-4,-3.288727E+1,7.798887E-3,3.141701E+4
-8.850000E+0,0.000000E+0,-4.676049E-4,4.675926E-4,-3.282028E+1,7.793415E-3,9.138228E+3
-8.900000E+0,0.000000E+0,-4.674500E-4,4.674388E-4,-3.275410E+1,7.790834E-3,1.937215E+4
-8.950000E+0,0.000000E+0,-4.675235E-4,4.675114E-4,-3.268694E+1,7.792058E-3,-4.085581E+4
-9.000000E+0,0.000000E+0,-4.673413E-4,4.673300E-4,-3.262025E+1,7.789022E-3,1.647159E+4
-9.050000E+0,0.000000E+0,-4.673736E-4,4.673626E-4,-3.255357E+1,7.789561E-3,-9.286416E+4
-9.100000E+0,0.000000E+0,-4.675025E-4,4.674915E-4,-3.248765E+1,7.791708E-3,-2.328421E+4
-9.150000E+0,0.000000E+0,-4.671699E-4,4.671583E-4,-3.242055E+1,7.786165E-3,9.020672E+3
-9.200000E+0,0.000000E+0,-4.672279E-4,4.672171E-4,-3.235384E+1,7.787132E-3,-5.169469E+4
-9.250000E+0,0.000000E+0,-4.673686E-4,4.673573E-4,-3.228802E+1,7.789477E-3,-2.132379E+4
-9.300000E+0,0.000000E+0,-4.673810E-4,4.673691E-4,-3.222093E+1,7.789684E-3,-2.419700E+5
-9.350000E+0,0.000000E+0,-4.672065E-4,4.671954E-4,-3.215411E+1,7.786775E-3,1.718846E+4
-9.400000E+0,0.000000E+0,-4.672712E-4,4.672604E-4,-3.208626E+1,7.787854E-3,-4.634857E+4
-9.450000E+0,0.000000E+0,-4.674150E-4,4.674049E-4,-3.201941E+1,7.790250E-3,-2.086624E+4
-9.500000E+0,0.000000E+0,-4.673364E-4,4.673264E-4,-3.195327E+1,7.788941E-3,3.819163E+4
-9.550000E+0,0.000000E+0,-4.676557E-4,4.676460E-4,-3.188657E+1,7.794261E-3,-9.397321E+3
-9.600000E+0,0.000000E+0,-4.673165E-4,4.673069E-4,-3.181207E+1,7.788609E-3,8.845723E+3
-9.650000E+0,0.000000E+0,-4.674230E-4,4.674127E-4,-3.174466E+1,7.790383E-3,-2.818682E+4
-9.700000E+0,0.000000E+0,-4.678023E-4,4.677925E-4,-3.167789E+1,7.796705E-3,-7.908487E+3
-9.750000E+0,0.000000E+0,-4.675806E-4,4.675716E-4,-3.161089E+1,7.793009E-3,1.352923E+4
-9.800000E+0,0.000000E+0,-4.675008E-4,4.674919E-4,-3.154503E+1,7.791680E-3,3.762015E+4
-9.850000E+0,0.000000E+0,-4.673016E-4,4.672920E-4,-3.147793E+1,7.788361E-3,1.506125E+4
-9.900000E+0,0.000000E+0,-4.671242E-4,4.671145E-4,-3.141180E+1,7.785404E-3,1.691209E+4
